date,pledge
"2022-08-23","0.1789"
"2022-08-24","0.1789"
"2022-08-25","0.1791"
"2022-08-26","0.1800"
"2022-08-27","0.1797"
"2022-08-28","0.1798"
"2022-08-29","0.1801"
"2022-08-30","0.1800"
"2022-08-31","0.1804"
"2022-09-01","0.1806"
"2022-09-02","0.1805"
"2022-09-03","0.1807"
"2022-09-04","0.1806"
"2022-09-05","0.1809"
"2022-09-06","0.1811"
"2022-09-07","0.1812"
"2022-09-08","0.1811"
"2022-09-09","0.1812"
"2022-09-10","0.1815"
"2022-09-11","0.1815"
"2022-09-12","0.1819"
"2022-09-13","0.1823"
"2022-09-14","0.1822"
"2022-09-15","0.1824"
"2022-09-16","0.1825"
"2022-09-17","0.1823"
"2022-09-18","0.1824"
"2022-09-19","0.1825"
"2022-09-20","0.1824"
"2022-09-21","0.1828"
"2022-09-22","0.1833"
"2022-09-23","0.1833"
"2022-09-24","0.1833"
"2022-09-25","0.1840"
"2022-09-26","0.1841"
"2022-09-27","0.1842"
"2022-09-28","0.1839"
"2022-09-29","0.1846"
"2022-09-30","0.1849"
"2022-10-01","0.1846"
"2022-10-02","0.1844"
"2022-10-03","0.1841"
"2022-10-04","0.1846"
"2022-10-05","0.1849"
"2022-10-06","0.1846"
"2022-10-07","0.1865"
"2022-10-08","0.1891"
"2022-10-09","0.1866"
"2022-10-10","0.1849"
"2022-10-11","0.1843"
"2022-10-12","0.1844"
"2022-10-13","0.1847"
"2022-10-14","0.1850"
"2022-10-15","0.1851"
"2022-10-16","0.1854"
"2022-10-17","0.1859"
"2022-10-18","0.1858"
"2022-10-19","0.1856"
"2022-10-20","0.1860"
"2022-10-21","0.1865"
"2022-10-22","0.1872"
"2022-10-23","0.1871"
"2022-10-24","0.1873"
"2022-10-25","0.1878"
"2022-10-26","0.1878"
"2022-10-27","0.1874"
"2022-10-28","0.1878"
"2022-10-29","0.1879"
"2022-10-30","0.1883"
"2022-10-31","0.1925"
"2022-11-01","0.1951"
"2022-11-02","0.1950"
"2022-11-03","0.1947"
"2022-11-04","0.1951"
"2022-11-05","0.1953"
"2022-11-06","0.1950"
"2022-11-07","0.1953"
"2022-11-08","0.1952"
"2022-11-09","0.1951"
"2022-11-10","0.1955"
"2022-11-11","0.1953"
"2022-11-12","0.1950"
"2022-11-13","0.1954"
"2022-11-14","0.1956"
"2022-11-15","0.1951"
"2022-11-16","0.1950"
"2022-11-17","0.1950"
"2022-11-18","0.1952"
"2022-11-19","0.1957"
"2022-11-20","0.1959"
"2022-11-21","0.1957"
"2022-11-22","0.1957"
"2022-11-23","0.1962"
"2022-11-24","0.1959"
"2022-11-25","0.1961"
"2022-11-26","0.1956"
"2022-11-27","0.1961"
"2022-11-28","0.1963"
"2022-11-29","0.1975"
"2022-11-30","0.2024"
"2022-12-01","0.2008"
"2022-12-02","0.1987"
"2022-12-03","0.1973"
"2022-12-04","0.1973"
"2022-12-05","0.1978"
"2022-12-06","0.1981"
"2022-12-07","0.1984"
"2022-12-08","0.1987"
"2022-12-09","0.1985"
"2022-12-10","0.1987"
"2022-12-11","0.1989"
"2022-12-12","0.1992"
"2022-12-13","0.1994"
"2022-12-14","0.1994"
"2022-12-15","0.1993"
"2022-12-16","0.1991"
"2022-12-17","0.1991"
"2022-12-18","0.1991"
"2022-12-19","0.1997"
"2022-12-20","0.2007"
"2022-12-21","0.2010"
"2022-12-22","0.2005"
"2022-12-23","0.2007"
"2022-12-24","0.2011"
"2022-12-25","0.2015"
"2022-12-26","0.2019"
"2022-12-27","0.2024"
"2022-12-28","0.2028"
"2022-12-29","0.2033"
"2022-12-30","0.2049"
"2022-12-31","0.2057"
"2023-01-01","0.2062"
"2023-01-02","0.2060"
"2023-01-03","0.2063"
"2023-01-04","0.2064"
"2023-01-05","0.2076"
"2023-01-06","0.2070"
"2023-01-07","0.2072"
"2023-01-08","0.2081"
"2023-01-09","0.2087"
"2023-01-10","0.2090"
"2023-01-11","0.2092"
"2023-01-12","0.2088"
"2023-01-13","0.2091"
"2023-01-14","0.2103"
"2023-01-15","0.2108"
"2023-01-16","0.2110"
"2023-01-17","0.2110"
"2023-01-18","0.2117"
"2023-01-19","0.2112"
"2023-01-20","0.2106"
"2023-01-21","0.2107"
"2023-01-22","0.2108"
"2023-01-23","0.2115"
"2023-01-24","0.2120"
"2023-01-25","0.2125"
"2023-01-26","0.2132"
"2023-01-27","0.2137"
"2023-01-28","0.2138"
"2023-01-29","0.2141"
"2023-01-30","0.2158"
"2023-01-31","0.2169"
"2023-02-01","0.2167"
"2023-02-02","0.2163"
"2023-02-03","0.2167"
"2023-02-04","0.2173"
"2023-02-05","0.2179"
"2023-02-06","0.2174"
"2023-02-07","0.2174"
"2023-02-08","0.2175"
"2023-02-09","0.2175"
"2023-02-10","0.2180"
"2023-02-11","0.2178"
"2023-02-12","0.2180"
"2023-02-13","0.2181"
"2023-02-14","0.2184"
"2023-02-15","0.2183"
"2023-02-16","0.2184"
"2023-02-17","0.2182"
"2023-02-18","0.2176"
"2023-02-19","0.2176"
"2023-02-20","0.2177"
"2023-02-21","0.2174"
"2023-02-22","0.2172"
"2023-02-23","0.2175"
"2023-02-24","0.2178"
"2023-02-25","0.2173"
"2023-02-26","0.2183"
"2023-02-27","0.2204"
"2023-02-28","0.2194"
"2023-03-01","0.2176"
"2023-03-02","0.2172"
"2023-03-03","0.2171"
"2023-03-04","0.2171"
"2023-03-05","0.2171"
"2023-03-06","0.2171"
"2023-03-07","0.2169"
"2023-03-08","0.2168"
"2023-03-09","0.2170"
"2023-03-10","0.2169"
"2023-03-11","0.2168"
"2023-03-12","0.2166"
"2023-03-13","0.2174"
"2023-03-14","0.2193"
"2023-03-15","0.2179"
"2023-03-16","0.2168"
"2023-03-17","0.2169"
"2023-03-18","0.2168"
"2023-03-19","0.2164"
"2023-03-20","0.2163"
"2023-03-21","0.2166"
"2023-03-22","0.2168"
"2023-03-23","0.2165"
"2023-03-24","0.2163"
"2023-03-25","0.2168"
"2023-03-26","0.2163"
"2023-03-27","0.2164"
"2023-03-28","0.2165"
"2023-03-29","0.2163"
"2023-03-30","0.2163"
"2023-03-31","0.2165"
"2023-04-01","0.2167"
"2023-04-02","0.2160"
"2023-04-03","0.2161"
"2023-04-04","0.2160"
"2023-04-05","0.2158"
"2023-04-06","0.2159"
"2023-04-07","0.2160"
"2023-04-08","0.2160"
"2023-04-09","0.2161"
"2023-04-10","0.2164"
"2023-04-11","0.2168"
"2023-04-12","0.2167"
"2023-04-13","0.2169"
"2023-04-14","0.2165"
"2023-04-15","0.2163"
"2023-04-16","0.2167"
"2023-04-17","0.2165"
"2023-04-18","0.2163"
"2023-04-19","0.2161"
"2023-04-20","0.2164"
"2023-04-21","0.2159"
"2023-04-22","0.2161"
"2023-04-23","0.2164"
"2023-04-24","0.2171"
"2023-04-25","0.2172"
"2023-04-26","0.2183"
"2023-04-27","0.2239"
"2023-04-28","0.2219"
"2023-04-29","0.2175"
"2023-04-30","0.2161"
"2023-05-01","0.2153"
"2023-05-02","0.2146"
"2023-05-03","0.2142"
"2023-05-04","0.2142"
"2023-05-05","0.2140"
"2023-05-06","0.2137"
"2023-05-07","0.2134"
"2023-05-08","0.2128"
"2023-05-09","0.2124"
"2023-05-10","0.2123"
"2023-05-11","0.2125"
"2023-05-12","0.2125"
"2023-05-13","0.2115"
"2023-05-14","0.2114"
"2023-05-15","0.2130"
"2023-05-16","0.2137"
"2023-05-17","0.2117"
"2023-05-18","0.2135"
"2023-05-19","0.2111"
"2023-05-20","0.2101"
"2023-05-21","0.2098"
"2023-05-22","0.2097"
"2023-05-23","0.2096"
"2023-05-24","0.2091"
"2023-05-25","0.2085"
"2023-05-26","0.2083"
"2023-05-27","0.2081"
"2023-05-28","0.2078"
"2023-05-29","0.2075"
"2023-05-30","0.2081"
"2023-05-31","0.2077"
"2023-06-01","0.2070"
"2023-06-02","0.2082"
"2023-06-03","0.2079"
"2023-06-04","0.2062"
"2023-06-05","0.2061"
"2023-06-06","0.2061"
"2023-06-07","0.2056"
"2023-06-08","0.2052"
"2023-06-09","0.2049"
"2023-06-10","0.2046"
"2023-06-11","0.2044"
"2023-06-12","0.2045"
"2023-06-13","0.2043"
"2023-06-14","0.2039"
"2023-06-15","0.2045"
"2023-06-16","0.2041"
"2023-06-17","0.2038"
"2023-06-18","0.2036"
"2023-06-19","0.2035"
"2023-06-20","0.2030"
"2023-06-21","0.2027"
"2023-06-22","0.2028"
"2023-06-23","0.2025"
"2023-06-24","0.2024"
"2023-06-25","0.2028"
"2023-06-26","0.2027"
"2023-06-27","0.2027"
"2023-06-28","0.2027"
"2023-06-29","0.2032"
"2023-06-30","0.2028"
"2023-07-01","0.2022"
"2023-07-02","0.2021"
"2023-07-03","0.2020"
"2023-07-04","0.2013"
"2023-07-05","0.2012"
"2023-07-06","0.2012"
"2023-07-07","0.2006"
"2023-07-08","0.2005"
"2023-07-09","0.2008"
"2023-07-10","0.2005"
"2023-07-11","0.1996"
"2023-07-12","0.1993"
"2023-07-13","0.1989"
"2023-07-14","0.1987"
"2023-07-15","0.1992"
"2023-07-16","0.1992"
"2023-07-17","0.1984"
"2023-07-18","0.1983"
"2023-07-19","0.1981"
"2023-07-20","0.1976"
"2023-07-21","0.1978"
"2023-07-22","0.1971"
"2023-07-23","0.1968"
"2023-07-24","0.1967"
"2023-07-25","0.1966"
"2023-07-26","0.1962"
"2023-07-27","0.1959"
"2023-07-28","0.1958"
"2023-07-29","0.1959"
"2023-07-30","0.1955"
"2023-07-31","0.1951"
"2023-08-01","0.1949"
"2023-08-02","0.1947"
"2023-08-03","0.1944"
"2023-08-04","0.1944"
"2023-08-05","0.1946"
"2023-08-06","0.1939"
"2023-08-07","0.1935"
"2023-08-08","0.1932"
"2023-08-09","0.1933"
"2023-08-10","0.1928"
"2023-08-11","0.1923"
"2023-08-12","0.1923"
"2023-08-13","0.1929"
"2023-08-14","0.1930"
"2023-08-15","0.1930"
"2023-08-16","0.1931"
"2023-08-17","0.1929"
"2023-08-18","0.1925"
"2023-08-19","0.1922"
"2023-08-20","0.1918"
"2023-08-21","0.1919"
"2023-08-22","0.1919"
"2023-08-23","0.1918"
"2023-08-24","0.1914"
"2023-08-25","0.1912"
"2023-08-26","0.1912"
"2023-08-27","0.1918"
"2023-08-28","0.1928"
"2023-08-29","0.1921"
"2023-08-30","0.1918"
"2023-08-31","0.1919"
"2023-09-01","0.1922"
"2023-09-02","0.1922"
"2023-09-03","0.1922"
"2023-09-04","0.1922"
"2023-09-05","0.1919"
"2023-09-06","0.1919"
"2023-09-07","0.1919"
"2023-09-08","0.1916"
"2023-09-09","0.1913"
"2023-09-10","0.1912"
"2023-09-11","0.1914"
"2023-09-12","0.1912"
"2023-09-13","0.1910"
"2023-09-14","0.1907"
"2023-09-15","0.1907"
"2023-09-16","0.1904"
"2023-09-17","0.1902"
"2023-09-18","0.1901"
"2023-09-19","0.1902"
"2023-09-20","0.1900"
"2023-09-21","0.1901"
"2023-09-22","0.1898"
"2023-09-23","0.1901"
"2023-09-24","0.1902"
"2023-09-25","0.1898"
"2023-09-26","0.1896"
"2023-09-27","0.1903"
"2023-09-28","0.1900"
"2023-09-29","0.1900"
"2023-09-30","0.1909"
"2023-10-01","0.1914"
"2023-10-02","0.1915"
"2023-10-03","0.1918"
"2023-10-04","0.1919"
"2023-10-05","0.1921"
"2023-10-06","0.1927"
"2023-10-07","0.1930"
"2023-10-08","0.1931"
"2023-10-09","0.1927"
"2023-10-10","0.1925"
"2023-10-12","0.1938"
"2023-10-13","0.1936"
"2023-10-14","0.1920"
"2023-10-15","0.1922"
"2023-10-16","0.1926"
"2023-10-17","0.1924"
"2023-10-18","0.1924"
"2023-10-19","0.1926"
"2023-10-20","0.1930"
"2023-10-21","0.1927"
"2023-10-22","0.1924"
"2023-10-23","0.1924"
"2023-10-24","0.1923"
"2023-10-25","0.1921"
"2023-10-26","0.1919"
"2023-10-27","0.1917"
"2023-10-28","0.1919"
"2023-10-29","0.1922"
"2023-10-30","0.1919"
"2023-10-31","0.1918"
"2023-11-01","0.1921"
"2023-11-02","0.1921"
"2023-11-03","0.1920"
"2023-11-04","0.1922"
"2023-11-05","0.1919"
"2023-11-06","0.1917"
"2023-11-07","0.1917"
"2023-11-08","0.1924"
"2023-11-09","0.1916"
"2023-11-10","0.1912"
"2023-11-11","0.1911"
"2023-11-12","0.1913"
"2023-11-13","0.1915"
"2023-11-14","0.1915"
"2023-11-15","0.1918"
"2023-11-16","0.1912"
"2023-11-17","0.1909"
"2023-11-18","0.1911"
"2023-11-19","0.1912"
"2023-11-20","0.1914"
"2023-11-21","0.1927"
"2023-11-22","0.1921"
"2023-11-23","0.1912"
"2023-11-24","0.1914"
"2023-11-25","0.1916"
"2023-11-26","0.1921"
"2023-11-27","0.1922"
"2023-11-28","0.1915"
"2023-11-29","0.1917"
"2023-11-30","0.1926"
"2023-12-01","0.1929"
"2023-12-02","0.1926"
"2023-12-03","0.1926"
"2023-12-04","0.1927"
"2023-12-05","0.1925"
"2023-12-06","0.1923"
"2023-12-07","0.1921"
"2023-12-08","0.1945"
"2023-12-09","0.1947"
"2023-12-10","0.1928"
"2023-12-11","0.1927"
"2023-12-12","0.1942"
"2023-12-13","0.1938"
"2023-12-14","0.1929"
"2023-12-15","0.1931"
"2023-12-16","0.1930"
"2023-12-17","0.1925"
"2023-12-18","0.1925"
"2023-12-19","0.1923"
"2023-12-20","0.1921"
"2023-12-21","0.1918"
"2023-12-22","0.1916"
"2023-12-23","0.1914"
"2023-12-24","0.1912"
"2023-12-25","0.1909"
"2023-12-26","0.1907"
"2023-12-27","0.1905"
"2023-12-28","0.1902"
"2023-12-29","0.1900"
"2023-12-30","0.1898"
"2023-12-31","0.1896"
"2024-01-01","0.1893"
"2024-01-02","0.1891"
"2024-01-03","0.1889"
"2024-01-04","0.1886"
"2024-01-05","0.1883"
"2024-01-06","0.1881"
"2024-01-07","0.1878"
"2024-01-08","0.1876"
"2024-01-09","0.1873"
"2024-01-10","0.1871"
